decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2022-09-27T18:45:00Z,2022-09-27T18:45:00Z,long,17.0,16.88156559423579,16.88156559423579,678,demand,16.89,16.969214052158264,active,4,4,2022-09-27T18:30:00Z,16.96,17.02,16.95,17.0,0.16868811528418123,2022-09-27T18:00:00Z,0.008434405764209061,0.24255863239866643,1.0,1.4951186378849224,16.94,16.96
2022-10-20T16:30:00Z,2022-10-20T16:30:00Z,short,17.33,17.44738909469264,17.44738909469264,721,supply,17.36,17.44,touched,4,4,2022-10-20T16:15:00Z,17.34,17.36,17.31,17.32,0.1477818938527215,2022-10-20T16:00:00Z,0.007389094692636076,,1.0,1.5923636836579456,17.44,17.39
2023-01-20T14:45:00Z,2023-01-20T14:45:00Z,short,21.92,22.0872051502292,22.0872051502292,780,supply,22.0,22.08,touched,4,4,2023-01-20T14:30:00Z,22.01,22.02,21.84,21.92,0.1441030045839986,2023-01-19T21:00:00Z,0.00720515022919993,,1.0,2.0900643778650085,21.97,21.95
2023-02-02T19:45:00Z,2023-02-02T19:45:00Z,long,21.59,21.5101781832386,21.5101781832386,782,demand,21.52,21.58,rejected,4,4,2023-02-02T19:30:00Z,21.58,21.63,21.57,21.59,0.19643633522798015,2023-02-02T19:00:00Z,0.009821816761399009,0.16666666666663707,1.0,1.3303636126900096,21.6,21.7
2023-04-25T19:45:00Z,2023-04-25T19:45:00Z,short,22.95,23.006810519246937,23.006810519246937,863,supply,22.96,23.0,verified,2,4,2023-04-25T19:30:00Z,22.96,22.96,22.94,22.95,0.1362103849387076,2023-04-25T19:00:00Z,0.00681051924693538,,1.0,1.420262981173467,22.94,22.93
2023-05-05T14:00:00Z,2023-05-05T14:00:00Z,long,23.21,23.051869384055504,23.051869384055504,878,demand,23.06,23.12,verified,3,3,2023-05-05T13:45:00Z,23.19,23.25,23.12,23.2,0.16261231888987135,2023-05-04T20:00:00Z,0.008130615944493567,0.0,1.0,2.4688435990748316,23.89,23.93
2023-08-15T16:30:00Z,2023-08-15T16:30:00Z,short,20.7,20.80592624368392,20.80592624368392,986,supply,20.75,20.8,rejected,2,4,2023-08-15T16:15:00Z,20.73,20.75,20.7,20.7,0.11852487367839751,2023-08-15T16:00:00Z,0.005926243683919876,,1.0,2.1185248736783944,20.79,20.71
2023-09-26T18:00:00Z,2023-09-26T18:00:00Z,long,21.01,20.95431536497605,20.95431536497605,1018,demand,20.96,21.0,rejected,2,3,2023-09-26T17:45:00Z,21.0,21.02,21.0,21.01,0.11369270047901416,2023-09-26T18:00:00Z,0.005684635023950708,0.0,1.0,1.392115875598806,21.01,21.01
2023-12-22T18:30:00Z,2023-12-22T18:30:00Z,long,22.23,22.154204466584943,22.154204466584943,1094,demand,22.160970374389702,22.2,rejected,2,3,2023-12-22T18:15:00Z,22.23,22.24,22.2,22.24,0.13531815609521583,2023-12-22T18:00:00Z,0.006765907804760792,0.0,1.0,2.1982156393634495,22.19,22.23
2024-02-22T18:45:00Z,2024-02-22T18:45:00Z,long,20.86,20.76486179031216,20.76486179031216,1118,demand,20.77,20.82,verified,4,5,2024-02-22T18:30:00Z,20.84,20.87,20.82,20.87,0.10276419375677372,2024-02-22T18:00:00Z,0.0051382096878386865,0.0,1.0,2.1027641937567823,20.82,20.87
