decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2022-01-07T15:15:00Z,2022-01-07T15:15:00Z,short,167.17,167.47266652518297,167.47266652518297,482,supply,167.28,167.446292671741,verified,4,4,2022-01-07T15:00:00Z,167.27,167.46,167.16,167.17,0.5274770688394291,2022-01-06T21:00:00Z,0.02637385344197146,,1.0,1.8200833627497712,167.02,166.99
2022-04-06T19:00:00Z,2022-04-06T19:00:00Z,long,179.59,178.89379994357466,178.89379994357466,552,demand,178.93,179.26,touched,3,3,2022-04-06T18:45:00Z,179.28,179.74,179.22,179.61,0.7240011285068578,2022-04-06T19:00:00Z,0.036200056425342894,0.12121212121210294,1.0,2.170303201289045,179.2,179.61
2022-06-21T17:15:00Z,2022-06-21T17:15:00Z,long,171.24,170.83840707356845,170.83840707356845,613,demand,170.87,171.16,active,3,3,2022-06-21T17:00:00Z,171.19,171.25,171.11,171.24,0.631858528631338,2022-06-21T17:00:00Z,0.0315929264315669,0.1724137931033942,1.0,1.38480319459163,171.1,171.2
2022-06-27T14:45:00Z,2022-06-27T14:45:00Z,short,170.2,170.70522752054654,170.70522752054654,626,supply,170.36,170.68,verified,4,4,2022-06-27T14:30:00Z,170.27,170.36,170.09,170.21,0.5045504109306518,2022-06-27T14:30:00Z,0.02522752054653259,,1.0,1.5475860017079566,170.59,170.46
2022-09-09T13:45:00Z,2022-09-09T13:45:00Z,short,159.58,160.08264648344837,160.08264648344837,668,supply,159.79,160.06,rejected,4,4,2022-09-09T13:30:00Z,159.72,159.91,159.53,159.55,0.4529296689676215,2022-09-08T20:00:00Z,0.022646483448381077,,1.0,1.9727647535123705,159.02,158.97
2022-09-29T17:45:00Z,2022-09-29T17:45:00Z,short,154.5,154.98667858487443,154.98667858487443,712,supply,154.62,154.9507403941237,rejected,3,3,2022-09-29T17:30:00Z,154.6,154.74,154.47,154.52,0.718763815014313,2022-09-29T17:00:00Z,0.03593819075071565,,1.0,1.411011757759113,154.58,154.47
2022-10-27T14:45:00Z,2022-10-27T14:45:00Z,short,154.6,155.35532994900277,155.35532994900277,718,supply,155.01,155.33,touched,5,5,2022-10-27T14:30:00Z,154.94,155.09,154.52,154.58,0.5065989800550695,2022-10-27T14:30:00Z,0.02532994900275348,,1.0,2.4229060906334396,154.71,154.39
2022-10-27T18:45:00Z,2022-10-27T18:45:00Z,long,154.49,154.1243203958385,154.1243203958385,750,demand,154.15,154.39,active,3,3,2022-10-27T18:30:00Z,154.45,154.52,154.36,154.48,0.5135920832297175,2022-10-27T18:00:00Z,0.025679604161485875,0.12499999999989637,1.0,1.4819983506729537,154.36,154.53
2022-12-19T15:15:00Z,2022-12-19T15:15:00Z,short,166.64,167.07959955432807,167.07959955432807,792,supply,166.79,167.05,active,3,3,2022-12-19T15:00:00Z,166.8,166.8,166.56,166.65,0.5919910865614458,2022-12-16T21:00:00Z,0.02959955432807229,,1.0,1.6523059781847385,166.85,166.77
2023-02-08T14:45:00Z,2023-02-08T14:45:00Z,short,174.5,175.01870944271676,175.01870944271676,815,supply,174.72278499412718,174.98,verified,2,3,2023-02-08T14:30:00Z,174.94,174.99,174.45,174.52,0.7741888543353571,2023-02-07T21:00:00Z,0.03870944271676786,,1.0,1.9388816022785011,174.07,173.95
